～か月<div class="hint">period of months</div>,～かげつ,period of months,2か <ruby>月<rt>げつ</rt></ruby> <ruby>前<rt>まえ</rt></ruby>に <ruby>日本<rt>にほん</rt></ruby>に <ruby>来<rt>き</rt></ruby>ました。,I came to Japan 2 months ago.
それから<div class="hint">and then; after that</div>,それから,and then; after that,それから 1<ruby>週間<rt>いっしゅうかん</rt></ruby> <ruby>後<rt>ご</rt></ruby> <ruby>彼<rt>かれ</rt></ruby>に <ruby>会<rt>あ</rt></ruby>いました。,I met him 1 week after that.
それでは<div class="hint">well then ... | in that situation</div>,それでは,well then ... | in that situation,「イタリアン <ruby>料理<rt>りょうり</rt></ruby>はあまり <ruby>好<rt>す</rt></ruby>きじゃないです。」「それでは、フランス <ruby>料理<rt>りょうり</rt></ruby>を <ruby>食<rt>た</rt></ruby>べましょう。」,"I don't really like Italian food."  "Well then; let's eat French."
たいてい<div class="hint">mostly; ordinarily; usually; generally</div>,たいてい,mostly; ordinarily; usually; generally,たいてい <ruby>遅<rt>おそ</rt></ruby>くまで <ruby>寝<rt>ね</rt></ruby>ます。,I usually sleep late.
タクシー<div class="hint">taxi</div>,タクシー,taxi,タクシーに <ruby>乗<rt>の</rt></ruby>りました。,I rode the taxi.
タバコ<div class="hint">tobacco; cigarette</div>,タバコ,tobacco; cigarette,タバコを <ruby>吸<rt>す</rt></ruby>う,To smoke a cigarette
だんだん<div class="hint">more and more; increasingly</div>,だんだん,more and more; increasingly,だんだん <ruby>暖<rt>あたた</rt></ruby>かくなります。,It will get warmer and warmer.
ちょうど<div class="hint">exactly; precisely</div>,ちょうど,exactly; precisely,ちょうど12 <ruby>時<rt>じ</rt></ruby> <ruby>半<rt>はん</rt></ruby>です。,It is exactly 12:30.
ちょっと<div class="hint">just a little</div>,ちょっと,just a little,ちょっといいですか。,Do you have a minute?
つける<div class="hint">to turn on; to switch on</div>,つける,to turn on; to switch on,<ruby>電気<rt>でんき</rt></ruby>をつける,To turn on the lights
テープ<div class="hint">tape</div>,テープ,tape,このテープはくっつかない。,This tape doesn't stick.
テーブル<div class="hint">table</div>,テーブル,table,テーブルの <ruby>下<rt>した</rt></ruby>にあります。,It is under the table.
テスト<div class="hint">test</div>,テスト,test,<ruby>明日<rt>あした</rt></ruby>はテストがあります。,We have a test tomorrow.
では<div class="hint">then; well; so; well then</div>,では,then; well; so; well then,では、 <ruby>試験<rt>しけん</rt></ruby>を <ruby>始<rt>はじ</rt></ruby>めます。,So; begin the test.
デパート<div class="hint">(abbr) department store</div>,デパート,(abbr) department store,デパートの <ruby>果物<rt>くだもの</rt></ruby>が <ruby>高<rt>たか</rt></ruby>い。,Fruits at the department store are expensive.
でも<div class="hint">but; however; though; nevertheless</div>,でも,but; however; though; nevertheless,コーラはあまり <ruby>好<rt>す</rt></ruby>きじゃない。でも、 <ruby>飲<rt>の</rt></ruby>む。,I don't really like cola.  But I will drink it.
テレビ<div class="hint">(abbr) television</div>,テレビ,(abbr) television,<ruby>毎日<rt>まいにち</rt></ruby>テレビを <ruby>見<rt>み</rt></ruby>ます。,I watch TV everyday.
ドア<div class="hint">door</div>,ドア,door,ドアを <ruby>閉<rt>し</rt></ruby>めましょうか？,Shall I close the door?
トイレ<div class="hint">(abbr) toilet; restroom; bathroom; lavatory</div>,トイレ,(abbr) toilet; restroom; bathroom; lavatory,トイレはどこですか？,Where is the toilet?
どう<div class="hint">how; in what way; how about</div>,どう,how; in what way; how about,どうしましょうか？,What should we do?
どうして<div class="hint">why?</div>,どうして,why?,どうしてその <ruby>服<rt>ふく</rt></ruby>がほしいですか？,Why do you want those clothes?
どうぞ<div class="hint">please; kindly | by all means; feel free | here you are</div>,どうぞ,please; kindly | by all means; feel free | here you are,どうぞ、 <ruby>食<rt>た</rt></ruby>べてください。,Please eat.
どうも<div class="hint">(abbr) thanks</div>,どうも,(abbr) thanks,,
どこ<div class="hint">where</div>,どこ,where,トイレはどこですか？,Where is the toilet?
どちら<div class="hint">which one (esp. of two alternatives)</div>,どちら,which one (esp. of two alternatives),<ruby>出口<rt>でぐち</rt></ruby>はどちらですか。,Which is the way out?
どっち<div class="hint">which one (esp. of two alternatives)</div>,どっち,which one (esp. of two alternatives),どっちの <ruby>方<rt>ほう</rt></ruby>が <ruby>美味<rt>おい</rt></ruby>しいかしら。,I wonder which one tastes better.
とても<div class="hint">very</div>,とても,very,<ruby>金<rt>きん</rt></ruby>のペンがとても <ruby>高<rt>たか</rt></ruby>いです。,The gold pen is very expensive.
どなた<div class="hint">(hon) who?</div>,どなた,(hon) who?,どなたですか？,Who is it?
どの<div class="hint">which; what (way)</div>,どの,which; what (way),どのくらい <ruby>泊<rt>と</rt></ruby>まりましたか？,How long did you stay?
どれ<div class="hint">which (of three or more)</div>,どれ,which (of three or more),どれが <ruby>良<rt>い</rt></ruby>いですか？,Which one is good?
どんな<div class="hint">what; what kind of</div>,どんな,what; what kind of,トムはどんな <ruby>人<rt>ひと</rt></ruby>ですか？,What kind of person is Tom?
ナイフ<div class="hint">knife</div>,ナイフ,knife,<ruby>台所<rt>だいどころ</rt></ruby>にナイフがありますか。,Is there a knife in the kitchen?
なぜ<div class="hint">why; how</div>,なぜ,why; how,なぜ <ruby>先生<rt>せんせい</rt></ruby>になったの？,Why did you become a teacher?
など<div class="hint">etc.; and the like; and so forth</div>,など,etc.; and the like; and so forth,ロックやブルースなど <ruby>好<rt>す</rt></ruby>きです。,I like rock; blues; etc.
なる<div class="hint">to become; to get</div>,なる,to become; to get,<ruby>悲<rt>かな</rt></ruby>しくなる,To become sad
ニュース<div class="hint">news</div>,ニュース,news,<ruby>今朝<rt>けさ</rt></ruby>のニュースを <ruby>見<rt>み</rt></ruby>ましたか？,Did you see the news this morning?
ネクタイ<div class="hint">tie; necktie</div>,ネクタイ,tie; necktie,ネクタイは <ruby>必要<rt>ひつよう</rt></ruby>ですか。,Do I need a tie?
ノート<div class="hint">(abbr) notebook | (to take) notes | notebook PC</div>,ノート,(abbr) notebook | (to take) notes | notebook PC,<ruby>日本語<rt>にほんご</rt></ruby>の <ruby>授業<rt>じゅぎょう</rt></ruby>のノートを <ruby>借<rt>か</rt></ruby>りてもいいですか？,May I borrow you notes form Japanese class?
パーティー<div class="hint">party</div>,パーティー,party,<ruby>今晩<rt>こんばん</rt></ruby>パーティーをします。,We're having a party this evening.
はい<div class="hint">yes; that is correct | understood; I see; OK; okay | present; here</div>,はい,yes; that is correct | understood; I see; OK; okay | present; here,,
バス<div class="hint">bus</div>,バス,bus,バスに <ruby>乗<rt>の</rt></ruby>りますか？,Will you ride the bus?
バター<div class="hint">butter</div>,バター,butter,ケーキにバターが <ruby>必要<rt>ひつよう</rt></ruby>。,Butter is necessary for cake.
パン<div class="hint">bread (por:); pastries (e.g. croissants)</div>,パン,bread (por:); pastries (e.g. croissants),<ruby>毎朝<rt>まいあさ</rt></ruby>パンを <ruby>食<rt>た</rt></ruby>べますか？,Do you eat bread every morning?
ハンカチ<div class="hint">(abbr) handkerchief</div>,ハンカチ,(abbr) handkerchief,このハンカチはいくらですか。,How much is this handkerchief?
フィルム<div class="hint">film</div>,フィルム,film,フィルムがなくなった。,My film has run out.
プール<div class="hint">(swimming) pool</div>,プール,(swimming) pool,<ruby>夏<rt>なつ</rt></ruby>にプールでよく <ruby>泳<rt>およ</rt></ruby>ぎます。,I often swim in the pool during summer.
フォーク<div class="hint">fork</div>,フォーク,fork,フォークをいただけますか？,Could we have a fork?
ページ<div class="hint">page</div>,ページ,page,15ページから <ruby>始<rt>はじ</rt></ruby>めます。,I will start from page 15.
ベッド<div class="hint">bed</div>,ベッド,bed,ベッドに <ruby>横<rt>よこ</rt></ruby>になっていた。,He lay on the bed.
ペット<div class="hint">pet</div>,ペット,pet,ペット <ruby>飼<rt>か</rt></ruby>ったことある？,Have you ever had a pet?
