～倍<div class="hint">～times; ～fold</div>,～ばい,～times; ～fold,<ruby>高<rt>たか</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>が <ruby>安<rt>やす</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>の10 <ruby>倍<rt>ばい</rt></ruby>です。,An expensive car is 10X a cheap car.
急ぐ<div class="hint">to hurry; to rush</div>,いそぐ,to hurry; to rush,もう <ruby>遅<rt>おそ</rt></ruby>いから <ruby>急<rt>いそ</rt></ruby>いで。,We are already late; so hurry up.
急行<div class="hint">express (train)</div>,きゅうこう,express (train),<ruby>急行<rt>きゅうこう</rt></ruby>に <ruby>乗<rt>の</rt></ruby>った <ruby>方<rt>ほう</rt></ruby>が <ruby>早<rt>はや</rt></ruby>いですよ。,It is faster to ride the express.
恥ずかしい<div class="hint">embarrassed; shameful; shy</div>,はずかしい,embarrassed; shameful; shy,<ruby>試験<rt>しけん</rt></ruby>を <ruby>失敗<rt>しっぱい</rt></ruby>することが <ruby>恥<rt>は</rt></ruby>ずかしいから <ruby>両親<rt>りょうしん</rt></ruby>にまだ <ruby>言<rt>い</rt></ruby>っていない。,Failing the test is embarrassing; so I haven't told my parents yet.
息子<div class="hint">son</div>,むすこ,son,<ruby>息子<rt>むすこ</rt></ruby>は <ruby>来年<rt>らいねん</rt></ruby>2 <ruby>歳<rt>さい</rt></ruby>になります。,My son will be 2 years old next year.
悲しい<div class="hint">sad</div>,かなしい,sad,そんな <ruby>悲<rt>かな</rt></ruby>しいことを <ruby>言<rt>い</rt></ruby>わないでください。,Don't say things that sad.
意見<div class="hint">opinion</div>,いけん,opinion,<ruby>自分<rt>じぶん</rt></ruby>の <ruby>意見<rt>いけん</rt></ruby>をはっきり <ruby>言<rt>い</rt></ruby>わないと <ruby>誰<rt>だれ</rt></ruby>も <ruby>分<rt>わ</rt></ruby>かりません。,If you don't clearly state your opinion; no one will understand.
慣れる<div class="hint">to get used to</div>,なれる,to get used to,<ruby>最初<rt>さいしょ</rt></ruby>は <ruby>大変<rt>たいへん</rt></ruby>だったんですが、 <ruby>毎日<rt>まいにち</rt></ruby> <ruby>早<rt>はや</rt></ruby>く <ruby>起<rt>お</rt></ruby>きることに <ruby>慣<rt>な</rt></ruby>れました。,It was tough at first; but I have gotten used to waking up early everyday.
戦争<div class="hint">war</div>,せんそう,war,おじいさんが <ruby>戦争<rt>せんそう</rt></ruby>で <ruby>死<rt>し</rt></ruby>にました。,My grandfather died in the war.
戻る<div class="hint">to return; to go back</div>,もどる,to return; to go back,1 <ruby>時間<rt>じかん</rt></ruby> <ruby>後<rt>ご</rt></ruby> <ruby>戻<rt>もど</rt></ruby>ります。,I'll be back in 1 hour.
手伝う<div class="hint">to help; to assist</div>,てつだう,to help; to assist,ジョンはいつも <ruby>手伝<rt>てつだ</rt></ruby>っていて、 <ruby>優<rt>やさ</rt></ruby>しい <ruby>人<rt>ひと</rt></ruby>です。,Jon is always helping me and is a kind person.
手袋<div class="hint">glove</div>,てぶくろ,glove,<ruby>冬<rt>ふゆ</rt></ruby>に <ruby>手袋<rt>てぶくろ</rt></ruby>がないと <ruby>手<rt>て</rt></ruby>をポケットから <ruby>出<rt>だ</rt></ruby>せない。,During winter I can't take my hand out of my pocket if I don't have gloves.
打つ<div class="hint">to hit; to strike</div>,うつ,to hit; to strike,ボールを <ruby>打<rt>う</rt></ruby>つ,hit a ball
払う<div class="hint">to pay (e.g. money; bill)</div>,はらう,to pay (e.g. money; bill),<ruby>会計<rt>かいけい</rt></ruby>を <ruby>払<rt>はら</rt></ruby>って <ruby>帰<rt>かえ</rt></ruby>りましょう。,Let's pay the bill and go home.
承知<div class="hint">consent; acceptance</div>,しょうち,consent; acceptance,<ruby>彼<rt>かれ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>が <ruby>頼<rt>たの</rt></ruby>んだことを <ruby>承知<rt>しょうち</rt></ruby>してくれました。,He agreed to my request.
技術<div class="hint">technology; engineering | technique; skill</div>,ぎじゅつ,technology; engineering | technique; skill,<ruby>最近<rt>さいきん</rt></ruby>AIの <ruby>技術<rt>ぎじゅつ</rt></ruby>が <ruby>進化<rt>しんか</rt></ruby>しています。,AI technology has been advancing recently.
投げる<div class="hint">to throw</div>,なげる,to throw,<ruby>起<rt>お</rt></ruby>こってもそれを <ruby>投<rt>な</rt></ruby>げちゃダメ！,Don't throw that even if you are angry!
折る<div class="hint">to break; to fold</div>,おる,to break; to fold,<ruby>書類<rt>しょるい</rt></ruby>を <ruby>折<rt>お</rt></ruby>らないでください。,Please don't fold the documents.
折れる<div class="hint">to be broken; to be folded</div>,おれる,to be broken; to be folded,<ruby>鳥<rt>とり</rt></ruby>の <ruby>翼<rt>つばさ</rt></ruby>は <ruby>折<rt>お</rt></ruby>れていた。,The bird's wing was broken.
押し入れ<div class="hint">closet</div>,おしいれ,closet,<ruby>使<rt>つか</rt></ruby>っていない <ruby>服<rt>ふく</rt></ruby>は <ruby>押<rt>お</rt></ruby>し <ruby>入<rt>い</rt></ruby>れの <ruby>隅<rt>すみ</rt></ruby>にある。,The unused clothes are in the corner of the closet.
招待<div class="hint">invitation</div>,しょうたい,invitation,<ruby>友達<rt>ともだち</rt></ruby>をパーティに <ruby>招待<rt>しょうたい</rt></ruby>した。,I invited my friend to the party.
拝見<div class="hint">(pol) to see; look at</div>,はいけん,(pol) to see; look at,パスポートを <ruby>拝見<rt>はいけん</rt></ruby>してもいいですか？,May I see your passport?
拾う<div class="hint">to pick up; to gather</div>,ひろう,to pick up; to gather,<ruby>落<rt>お</rt></ruby>としたパンを <ruby>拾<rt>ひろ</rt></ruby>ってください。,Please pick up the bread you dropped.
指<div class="hint">finger; toe</div>,ゆび,finger; toe,<ruby>料理<rt>りょうり</rt></ruby>しているとき <ruby>指<rt>ゆび</rt></ruby>を <ruby>切<rt>き</rt></ruby>らないように <ruby>気<rt>き</rt></ruby>を <ruby>付<rt>つ</rt></ruby>けてください。,Please be careful not to cut your finger while cooking.
指輪<div class="hint">ring (jewlery)</div>,ゆびわ,ring (jewlery),プロポーズする <ruby>前<rt>まえ</rt></ruby>に <ruby>指輪<rt>ゆびわ</rt></ruby>を <ruby>買<rt>か</rt></ruby>いに <ruby>行<rt>い</rt></ruby>く。,I will go to buy a ring before proposing.
挨拶<div class="hint">greeting; salutation</div>,あいさつ,greeting; salutation,<ruby>仕事<rt>しごと</rt></ruby>に <ruby>着<rt>つ</rt></ruby>いたら、 <ruby>皆<rt>みな</rt></ruby>にちゃんと <ruby>挨拶<rt>あいさつ</rt></ruby>します。,I properly greet everyone when I arrave at work.
捕まえる<div class="hint">to catch; to arrest; to seize</div>,つかまえる,to catch; to arrest; to seize,<ruby>警察<rt>けいさつ</rt></ruby>が <ruby>泥棒<rt>どろぼう</rt></ruby>を <ruby>捕<rt>つか</rt></ruby>まえた。,The police arrested the robber.
捨てる<div class="hint">to throw away</div>,すてる,to throw away,ゴミ <ruby>箱<rt>ばこ</rt></ruby>に <ruby>捨<rt>す</rt></ruby>ててください。,Please throw it away in the trash can.
探す<div class="hint">to search for</div>,さがす,to search for,<ruby>鍵<rt>かぎ</rt></ruby>を10 <ruby>分<rt>ぷん</rt></ruby>も <ruby>探<rt>さが</rt></ruby>しました。,I search for the keys for 10 minutes.
揺れる<div class="hint">to shake; to sway</div>,ゆれる,to shake; to sway,<ruby>地震<rt>じしん</rt></ruby>で <ruby>家<rt>いえ</rt></ruby>が <ruby>少<rt>すこ</rt></ruby>し <ruby>揺<rt>ゆ</rt></ruby>れました。,The house shook a bit from the earthquake.
支度<div class="hint">preparation; arrangements</div>,したく,preparation; arrangements,<ruby>旅行<rt>りょこう</rt></ruby>の <ruby>支度<rt>したく</rt></ruby>はもう <ruby>終<rt>お</rt></ruby>わりましたか？,Are the preparations for the trip already finished?
放送<div class="hint">broadcast</div>,ほうそう,broadcast,<ruby>夕<rt>ゆう</rt></ruby>べあの <ruby>番組<rt>ばんぐみ</rt></ruby>が <ruby>放送<rt>ほうそう</rt></ruby>されました。,That program was broadcasted last night.
政治<div class="hint">politics; government</div>,せいじ,politics; government,<ruby>政治<rt>せいじ</rt></ruby>に <ruby>関<rt>かん</rt></ruby>する <ruby>意見<rt>いけん</rt></ruby>,(one's) political views
故障<div class="hint">breakdown; failure; out of order</div>,こしょう,breakdown; failure; out of order,この <ruby>電話<rt>でんわ</rt></ruby>はまた <ruby>故障<rt>こしょう</rt></ruby>しています。,This phone is broken again.
教会<div class="hint">church</div>,きょうかい,church,<ruby>教会<rt>きょうかい</rt></ruby>で <ruby>結婚式<rt>けっこんしき</rt></ruby>をしたいです。,I want to have my wedding in a church.
教育<div class="hint">education; schooling; training</div>,きょういく,education; schooling; training,<ruby>子供<rt>こども</rt></ruby>の <ruby>教育<rt>きょういく</rt></ruby>がドンドン <ruby>高<rt>たか</rt></ruby>くなっています。,Education for children is becoming more and more expensive.
数学<div class="hint">mathematics</div>,すうがく,mathematics,<ruby>数学<rt>すうがく</rt></ruby>が <ruby>下手<rt>へた</rt></ruby>です。,I am not good at math.
文化<div class="hint">culture</div>,ぶんか,culture,<ruby>日本<rt>にほん</rt></ruby>の <ruby>文化<rt>ぶんか</rt></ruby>に <ruby>興味<rt>きょうみ</rt></ruby>があるので、 <ruby>留学<rt>りゅうがく</rt></ruby>しました。,I am interested in Japanese culture; so I studied abroad.
文学<div class="hint">literature</div>,ぶんがく,literature,<ruby>大学<rt>だいがく</rt></ruby>でアメリカ <ruby>文学<rt>ぶんがく</rt></ruby>を <ruby>専攻<rt>せんこう</rt></ruby>しました。,I majored in American literature at college.
文法<div class="hint">grammar</div>,ぶんぽう,grammar,<ruby>良<rt>い</rt></ruby>い <ruby>文法<rt>ぶんぽう</rt></ruby>の <ruby>本<rt>ほん</rt></ruby>を <ruby>知<rt>し</rt></ruby>っていますか？,Do you know a good grammar book?
新聞社<div class="hint">newspaper company</div>,しんぶんしゃ,newspaper company,<ruby>読売<rt>よみうり</rt></ruby>は <ruby>一番<rt>いちばん</rt></ruby> <ruby>大<rt>おお</rt></ruby>きい <ruby>日本<rt>にほん</rt></ruby>の <ruby>新聞<rt>しんぶん</rt></ruby> <ruby>社<rt>しゃ</rt></ruby>です。,The Yomiuri is the biggest newspaper company in Japan.
旅館<div class="hint">Japanese-style lodging</div>,りょかん,Japanese-style lodging,<ruby>京都<rt>きょうと</rt></ruby>に <ruby>行<rt>い</rt></ruby>ったら、 <ruby>駅<rt>えき</rt></ruby>に <ruby>近<rt>ちか</rt></ruby>い <ruby>旅館<rt>りょかん</rt></ruby>に <ruby>泊<rt>と</rt></ruby>まります。,When I go to Kyoto; I stay at a ryokan near the station.
日<div class="hint">sun | day; counter for days</div>,ひ、にち,sun | day; counter for days,<ruby>日<rt>ひ</rt></ruby>が <ruby>昇<rt>のぼ</rt></ruby>る。 <ruby>日<rt>ひ</rt></ruby>が <ruby>沈<rt>しず</rt></ruby>む。,The sun rises.  The sun sets.
日記<div class="hint">diary; journal</div>,にっき,diary; journal,<ruby>毎日<rt>まいにち</rt></ruby> <ruby>日記<rt>にっき</rt></ruby>を <ruby>書<rt>か</rt></ruby>くようにしました。,I decided to write a diary everyday.
昔<div class="hint">a long time ago</div>,むかし,a long time ago,<ruby>昔<rt>むかし</rt></ruby>の <ruby>携帯<rt>けいたい</rt></ruby> <ruby>電話<rt>でんわ</rt></ruby>はとても <ruby>大<rt>おお</rt></ruby>きかったよね。,Cell phones from long ago were really big.
星<div class="hint">star</div>,ほし,star,<ruby>東京<rt>とうきょう</rt></ruby>にいたら <ruby>見<rt>み</rt></ruby>えないけど、 <ruby>田舎<rt>いなか</rt></ruby>に <ruby>行<rt>い</rt></ruby>ったら <ruby>星<rt>ほし</rt></ruby>がいっぱい <ruby>見<rt>み</rt></ruby>えます。,When you are in Tokyo you can't see them; but if you go to the country side you can see many stars.
是非<div class="hint">certainly; definitely; without fail</div>,ぜひ,certainly; definitely; without fail,<ruby>日本<rt>にほん</rt></ruby>に <ruby>留学<rt>りゅうがく</rt></ruby>する <ruby>機会<rt>きかい</rt></ruby>があれば、 <ruby>是非<rt>ぜひ</rt></ruby> <ruby>行<rt>い</rt></ruby>ってください。,If you have the opportunity to study abroad in Japan; definitely go.
昼休み<div class="hint">lunch (noon) break;</div>,ひるやすみ,lunch (noon) break;,キムが <ruby>疲<rt>つか</rt></ruby>れたから <ruby>昼休<rt>ひるやす</rt></ruby>みに <ruby>寝<rt>ね</rt></ruby>たそうです。,It seems Kim slept during lunch because she was tired.
昼間<div class="hint">daytime; during the day</div>,ひるま,daytime; during the day,<ruby>昼間<rt>ひるま</rt></ruby>が <ruby>暑<rt>あつ</rt></ruby>いので、 <ruby>夕方<rt>ゆうがた</rt></ruby>まで <ruby>待<rt>ま</rt></ruby>って <ruby>出<rt>で</rt></ruby>かけましょう。,It is hot during the day; so let's wait until night and go out.
時代<div class="hint">period; era; times</div>,じだい,period; era; times,<ruby>高校<rt>こうこう</rt></ruby> <ruby>時代<rt>じだい</rt></ruby>にテニスをやりました。,I played tennis when I was in high school.
普通<div class="hint">usual; ordinary</div>,ふつう,usual; ordinary,<ruby>誕生<rt>たんじょう</rt></ruby> <ruby>日<rt>び</rt></ruby>なので、 <ruby>普通<rt>ふつう</rt></ruby>のレストランより <ruby>良<rt>い</rt></ruby>いのに <ruby>行<rt>い</rt></ruby>きたいです。,It is my birthday; so I want to go somewhere better than an ordinary restaurant.
景色<div class="hint">scenery; scene; landscape</div>,けしき,scenery; scene; landscape,<ruby>旅館<rt>りょかん</rt></ruby>から <ruby>美<rt>うつく</rt></ruby>しい <ruby>景色<rt>けしき</rt></ruby>が <ruby>見<rt>み</rt></ruby>えます。,You can see beautiful scenery from the ryokan.
暖房<div class="hint">heating; heater</div>,だんぼう,heating; heater,<ruby>寒<rt>さむ</rt></ruby>いから <ruby>暖房<rt>だんぼう</rt></ruby>をつけても <ruby>良<rt>よ</rt></ruby>いですか？,It is cold so may I turn on the heater?
暮れる<div class="hint">to get dark; to come to an end</div>,くれる,to get dark; to come to an end,<ruby>日<rt>ひ</rt></ruby>が <ruby>暮<rt>く</rt></ruby>れる,to grow dark
最も<div class="hint">most; extremely</div>,もっとも,most; extremely,<ruby>最<rt>もっと</rt></ruby>も <ruby>良<rt>い</rt></ruby>い <ruby>本<rt>ほん</rt></ruby>はどれですか？,Which is the best book?
最初<div class="hint">beginning; first</div>,さいしょ,beginning; first,<ruby>今朝<rt>けさ</rt></ruby> <ruby>誰<rt>だれ</rt></ruby>が <ruby>最初<rt>さいしょ</rt></ruby>に <ruby>来<rt>き</rt></ruby>ましたか？,Who came first this morning?
最後<div class="hint">last; final</div>,さいご,last; final,<ruby>昨日<rt>きのう</rt></ruby> <ruby>最後<rt>さいご</rt></ruby> <ruby>帰<rt>かえ</rt></ruby>った <ruby>人<rt>ひと</rt></ruby>は <ruby>誰<rt>だれ</rt></ruby>ですか？,Who was the last to go home yesterday?
最近<div class="hint">recently</div>,さいきん,recently,<ruby>最近<rt>さいきん</rt></ruby> <ruby>出<rt>で</rt></ruby>た <ruby>映画<rt>えいが</rt></ruby>,the movie that came out recently
月<div class="hint">moon; (one) month</div>,つき,moon; (one) month,<ruby>今日<rt>きょう</rt></ruby>の <ruby>月<rt>つき</rt></ruby>が <ruby>美<rt>うつく</rt></ruby>しいです。,Today's moon is beautiful.
木綿<div class="hint">cotton (material)</div>,もめん,cotton (material),シルクより <ruby>木綿<rt>もめん</rt></ruby>の <ruby>方<rt>ほう</rt></ruby>が <ruby>安<rt>やす</rt></ruby>いです。,Cotton is cheaper than silk.
林<div class="hint">woods; thicket</div>,はやし,woods; thicket,<ruby>林<rt>はやし</rt></ruby>の <ruby>中<rt>なか</rt></ruby>で <ruby>虫<rt>むし</rt></ruby>にさされた。,I was bitten by insects in the woods.
枝<div class="hint">branch; twig</div>,えだ,branch; twig,この <ruby>枝<rt>えだ</rt></ruby>が <ruby>細<rt>ほそ</rt></ruby>いから <ruby>折<rt>お</rt></ruby>れやすいです。,This branch is skinny so it is easily broken.
柔らかい<div class="hint">soft; tender</div>,やわらかい,soft; tender,この <ruby>肉<rt>にく</rt></ruby>が <ruby>柔<rt>やわ</rt></ruby>らかくて <ruby>美味<rt>おい</rt></ruby>しいです。,This meat is tender and delicious.
柔道<div class="hint">judo</div>,じゅうどう,judo,<ruby>子供<rt>こども</rt></ruby>の <ruby>時<rt>とき</rt></ruby> <ruby>柔道<rt>じゅうどう</rt></ruby>をやりました。,I did judo when I was a child.
校長<div class="hint">principal; headmaster</div>,こうちょう,principal; headmaster,あの <ruby>学校<rt>がっこう</rt></ruby>で30 <ruby>年<rt>ねん</rt></ruby> <ruby>働<rt>はたら</rt></ruby>いた <ruby>田中<rt>たなか</rt></ruby>さんはやっと <ruby>校長<rt>こうちょう</rt></ruby>になりました。,Tanaka-san; who worked at that school for 30 years; finally became the principal.
案内<div class="hint">guidance; showing around</div>,あんない,guidance; showing around,<ruby>大阪<rt>おおさか</rt></ruby>に <ruby>行<rt>い</rt></ruby>ったら <ruby>友達<rt>ともだち</rt></ruby>が <ruby>案内<rt>あんない</rt></ruby>してくれました。,My friend showed us around when we went to Osaka.
棚<div class="hint">shelf; shelves</div>,たな,shelf; shelves,<ruby>読<rt>よ</rt></ruby>み <ruby>終<rt>お</rt></ruby>わったら、 <ruby>棚<rt>たな</rt></ruby>に <ruby>置<rt>お</rt></ruby>いてね。,Put it on the shelf when you are done reading it.
森<div class="hint">forest</div>,もり,forest,<ruby>森<rt>もり</rt></ruby>の <ruby>中<rt>なか</rt></ruby>は <ruby>暗<rt>くら</rt></ruby>くて <ruby>怖<rt>こわ</rt></ruby>いです。,Inside the forest is dark and scary.
植える<div class="hint">to plant; to grow</div>,うえる,to plant; to grow,<ruby>数<rt>すう</rt></ruby> <ruby>年<rt>ねん</rt></ruby> <ruby>前<rt>まえ</rt></ruby>りんごの <ruby>木<rt>き</rt></ruby>を <ruby>植<rt>う</rt></ruby>えたが、まだ <ruby>小<rt>ちい</rt></ruby>さい。,I planted an apple tree several years ago; but it is still small.
楽しみ<div class="hint">enjoyment; pleasure</div>,たのしみ,enjoyment; pleasure,パソコンが <ruby>壊<rt>こわ</rt></ruby>れているからアニメを <ruby>見<rt>み</rt></ruby>る <ruby>楽<rt>たの</rt></ruby>しみがない。,My PC broke; so I don't have the enjoyment of watching anime.
楽しむ<div class="hint">to enjoy oneself; to have fun</div>,たのしむ,to enjoy oneself; to have fun,<ruby>子供<rt>こども</rt></ruby> <ruby>達<rt>たち</rt></ruby>が <ruby>一日中<rt>いちにちじゅう</rt></ruby> <ruby>外<rt>そと</rt></ruby>で <ruby>遊<rt>あそ</rt></ruby>んで <ruby>楽<rt>たの</rt></ruby>しんでいた。,The children played outside all day and had fun.
構う<div class="hint">to mind; to care about</div>,かまう,to mind; to care about,<ruby>誰<rt>だれ</rt></ruby>も <ruby>使<rt>つか</rt></ruby>っていないので、この <ruby>部屋<rt>へや</rt></ruby>で <ruby>勉強<rt>べんきょう</rt></ruby>しても <ruby>構<rt>かま</rt></ruby>いません。,No one is using it; so I do not mind if you study in this room.
様<div class="hint">honorific title (Mr.; Mrs.; etc.)</div>,さま,honorific title (Mr.; Mrs.; etc.),<ruby>田中<rt>たなか</rt></ruby> <ruby>様<rt>さま</rt></ruby>がいらっしゃいますか？,Is Mr. Tanaka there?
機会<div class="hint">chance; opportunity</div>,きかい,chance; opportunity,<ruby>日本<rt>にほん</rt></ruby>に <ruby>留学<rt>りゅうがく</rt></ruby>する <ruby>機会<rt>きかい</rt></ruby>があれば、 <ruby>是非<rt>ぜひ</rt></ruby> <ruby>行<rt>い</rt></ruby>ってください。,If you have the opportunity to study abroad in Japan; definitely go.
止む<div class="hint">to cease; to stop</div>,やむ,to cease; to stop,<ruby>雨<rt>あめ</rt></ruby>が <ruby>止<rt>や</rt></ruby>んだから <ruby>出<rt>で</rt></ruby>かけましょう。,Let's go out because it stopped raining.
止める（とめる）<div class="hint">to stop; to turn off; to park</div>,とめる,to stop; to turn off; to park,ガスを <ruby>止<rt>と</rt></ruby>めてください。,Please turn off the gas.
止める（やめる）<div class="hint">to stop (an activity); to quit</div>,やめる,to stop (an activity); to quit,<ruby>体<rt>からだ</rt></ruby>に <ruby>悪<rt>わる</rt></ruby>いからタバコを <ruby>止<rt>や</rt></ruby>める <ruby>予定<rt>よてい</rt></ruby>です。,Smoking is bad for my body; so I plan to stop.
正しい<div class="hint">right; correct</div>,ただしい,right; correct,ジョンは <ruby>数学<rt>すうがく</rt></ruby>が <ruby>下手<rt>へた</rt></ruby>だから <ruby>質問<rt>しつもん</rt></ruby>を <ruby>正<rt>ただ</rt></ruby>しく <ruby>答<rt>こた</rt></ruby>えられなかった。,Jon is bad at math; so he couldn't answer the question correctly.
正月<div class="hint">New Year (esp. the first few days); January</div>,しょうがつ,New Year (esp. the first few days); January,<ruby>正月<rt>しょうがつ</rt></ruby>に <ruby>旅行<rt>りょこう</rt></ruby> <ruby>行<rt>い</rt></ruby>きますか？,Will you go on vacation during New Years?
歯医者<div class="hint">dentist</div>,はいしゃ,dentist,<ruby>歯医者<rt>はいしゃ</rt></ruby>に <ruby>行<rt>い</rt></ruby>く <ruby>前<rt>まえ</rt></ruby>に <ruby>歯<rt>は</rt></ruby>を <ruby>磨<rt>みが</rt></ruby>いた <ruby>方<rt>ほう</rt></ruby>が <ruby>良<rt>い</rt></ruby>いですよ。,You should brush your teeth before you go to the dentist.
歴史<div class="hint">history</div>,れきし,history,<ruby>歴史<rt>れきし</rt></ruby>の <ruby>試験<rt>しけん</rt></ruby>を <ruby>失敗<rt>しっぱい</rt></ruby>しました。,I failed the history test.
残る<div class="hint">to remain</div>,のこる,to remain,クッキーが <ruby>一個<rt>いっこ</rt></ruby>しか <ruby>残<rt>のこ</rt></ruby>っていない。,There is only one cookie left.
残念<div class="hint">bad luck; regret</div>,ざんねん,bad luck; regret,<ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>って <ruby>動物<rt>どうぶつ</rt></ruby> <ruby>園<rt>えん</rt></ruby>に <ruby>行<rt>い</rt></ruby>けなくて、 <ruby>残念<rt>ざんねん</rt></ruby>だね。,It is regretable that it rained so we could not go to the zoo.
比べる<div class="hint">to compare</div>,くらべる,to compare,この <ruby>車<rt>くるま</rt></ruby>とその <ruby>車<rt>くるま</rt></ruby>を <ruby>比<rt>くら</rt></ruby>べてから <ruby>決<rt>き</rt></ruby>めましょう。,Let's decide after we compare this car and that car.
毛<div class="hint">hair; fur; feathers</div>,け,hair; fur; feathers,このウールが <ruby>羊<rt>ひつじ</rt></ruby>の <ruby>毛<rt>け</rt></ruby>から <ruby>作<rt>つく</rt></ruby>ります。,This wool is made from sheep fur.
気<div class="hint">spirit; nature; mood</div>,き,spirit; nature; mood,<ruby>気<rt>き</rt></ruby>が <ruby>良<rt>い</rt></ruby>い,to be in a good mood
気分<div class="hint">feeling; mood</div>,きぶん,feeling; mood,<ruby>気分<rt>きぶん</rt></ruby>が <ruby>悪<rt>わる</rt></ruby>ければ <ruby>医者<rt>いしゃ</rt></ruby>に <ruby>行<rt>い</rt></ruby>ってください。,Please go to the doctor if you are feeling ill.
気持ち<div class="hint">feeling; sensation; mood</div>,きもち,feeling; sensation; mood,プレゼントをもらったから <ruby>嬉<rt>うれ</rt></ruby>しい <ruby>気持<rt>きも</rt></ruby>ちになった。,I was in a happy mood because I received a present.
水泳<div class="hint">swimming</div>,すいえい,swimming,<ruby>小学校<rt>しょうがっこう</rt></ruby>のとき <ruby>水泳<rt>すいえい</rt></ruby>をしました。,I did swimming when I was in elementary school.
水道<div class="hint">water supply; water works</div>,すいどう,water supply; water works,いっぱい <ruby>使<rt>つか</rt></ruby>ったから <ruby>今月<rt>こんげつ</rt></ruby>の <ruby>水道<rt>すいどう</rt></ruby>の <ruby>料金<rt>りょうきん</rt></ruby>が <ruby>高<rt>たか</rt></ruby>い。,This month's water bill is high because we used a lot.
汚れる<div class="hint">to become dirty</div>,よごれる,to become dirty,<ruby>落<rt>お</rt></ruby>としてしまったタオルが <ruby>汚<rt>よご</rt></ruby>れた。,The towel I dropped became dirty.
決して<div class="hint">never; by no means</div>,けっして,never; by no means,<ruby>手紙<rt>てがみ</rt></ruby>を <ruby>出<rt>だ</rt></ruby>すことを <ruby>決<rt>けっ</rt></ruby>して <ruby>忘<rt>わす</rt></ruby>れないでください。,By no means; forget to mail the letter.  (Be sure to mail the letter.)
決まる<div class="hint">to be decided</div>,きまる,to be decided,<ruby>仕事<rt>しごと</rt></ruby>のスケジュールが <ruby>決<rt>き</rt></ruby>まったら <ruby>連絡<rt>れんらく</rt></ruby>してください。,Please contact me when your work schedule is decided.
決める<div class="hint">to decide</div>,きめる,to decide,この <ruby>車<rt>くるま</rt></ruby>とその <ruby>車<rt>くるま</rt></ruby>を <ruby>比<rt>くら</rt></ruby>べてから <ruby>決<rt>き</rt></ruby>めましょう。,Let's decide after we compare this car and that car.
沸かす<div class="hint">to boil</div>,わかす,to boil,お <ruby>湯<rt>ゆ</rt></ruby>を <ruby>沸<rt>わ</rt></ruby>かす,To boil water
沸く<div class="hint">to boil</div>,わく,to boil,お <ruby>湯<rt>ゆ</rt></ruby>が <ruby>沸<rt>わ</rt></ruby>いているよ。,The water is boiling.
治る<div class="hint">to be cured; to get well</div>,なおる,to be cured; to get well,<ruby>風邪<rt>かぜ</rt></ruby>がやっと <ruby>治<rt>なお</rt></ruby>りました。,My cold finally got better.
泊まる<div class="hint">to stay at (e.g. hotel)</div>,とまる,to stay at (e.g. hotel),<ruby>箱根<rt>はこね</rt></ruby>の <ruby>旅館<rt>りょかん</rt></ruby>に <ruby>泊<rt>と</rt></ruby>まりたい。,I want to stay at a Hakone ryokan.
法律<div class="hint">law</div>,ほうりつ,law,<ruby>日本<rt>にほん</rt></ruby>の <ruby>法律<rt>ほうりつ</rt></ruby>が <ruby>厳<rt>きび</rt></ruby>しいです。,Japanese laws are strict.
泥棒<div class="hint">thief; burglar</div>,どろぼう,thief; burglar,<ruby>警察官<rt>けいさつかん</rt></ruby>が <ruby>泥棒<rt>どろぼう</rt></ruby>を <ruby>逮捕<rt>たいほ</rt></ruby>した。,The police arrested the thief.
注射<div class="hint">injection; shot</div>,ちゅうしゃ,injection; shot,<ruby>医者<rt>いしゃ</rt></ruby>が <ruby>注射<rt>ちゅうしゃ</rt></ruby>をした。,The doctor gave an injection.
注意<div class="hint">caution; attention; warning</div>,ちゅうい,caution; attention; warning,<ruby>今度<rt>こんど</rt></ruby>レポートに <ruby>名前<rt>なまえ</rt></ruby>を <ruby>書<rt>か</rt></ruby>くように <ruby>注意<rt>ちゅうい</rt></ruby>してくださいね。,Please be careful to write your name on the report next time.
浅い<div class="hint">shallow; superficial</div>,あさい,shallow; superficial,この <ruby>池<rt>いけ</rt></ruby>が <ruby>浅<rt>あさ</rt></ruby>いから <ruby>立<rt>た</rt></ruby>てるよ。,This pond is shallow so you can stand.
海岸<div class="hint">coast; beach</div>,かいがん,coast; beach,<ruby>海岸<rt>かいがん</rt></ruby>に <ruby>沿<rt>そ</rt></ruby>って <ruby>彼女<rt>かのじょ</rt></ruby>とドライブした。,I drove along the coast with my girlfriend.
消しゴム<div class="hint">eraser</div>,けしごむ,eraser,<ruby>試験<rt>しけん</rt></ruby>に <ruby>予備<rt>よび</rt></ruby>の <ruby>消<rt>け</rt></ruby>しゴムを <ruby>持<rt>も</rt></ruby>って <ruby>行<rt>い</rt></ruby>けば <ruby>良<rt>よ</rt></ruby>かった。,I should have taken a spare eraser to the test.
