少々,しょうしょう,a little; a bit,<ruby>塩<rt>しお</rt></ruby>を <ruby>少々<rt>しょうしょう</rt></ruby> <ruby>入<rt>い</rt></ruby>れてください。,Please put in a little salt.
いつか,いつか,some time; some day,<ruby>僕<rt>ぼく</rt></ruby>はいつかアフリカに <ruby>行<rt>い</rt></ruby>きたい。,I want to go to Africa some day.
たくさん,たくさん,a lot; in large quantity,<ruby>昨日<rt>きのう</rt></ruby>はたくさん <ruby>泳<rt>およ</rt></ruby>ぎました。,I swam a lot yesterday.
一方,いっぽう,one way,ここは <ruby>一方<rt>いっぽう</rt></ruby> <ruby>通行<rt>つうこう</rt></ruby>です。,This is a one-way street.
まあまあ,まあまあ,OK; not bad,<ruby>彼<rt>かれ</rt></ruby>の <ruby>成績<rt>せいせき</rt></ruby>はまあまあです。,His grades are not bad.
また,また,again; also; or,<ruby>明日<rt>あした</rt></ruby>、また <ruby>来<rt>き</rt></ruby>ます。,I'll come again tomorrow.
度々,たびたび,often,<ruby>彼<rt>かれ</rt></ruby>から <ruby>度々<rt>たびたび</rt></ruby>メールがきます。,I often get emails from him.
ずっと,ずっと,all the time; all through,<ruby>父<rt>ちち</rt></ruby>は <ruby>休<rt>やす</rt></ruby>みの <ruby>日<rt>ひ</rt></ruby>はずっとテレビを <ruby>見<rt>み</rt></ruby>ている。,My father spends his days off watching TV all the time.
しばらく,しばらく,a little while; a while,そこでしばらく <ruby>休<rt>やす</rt></ruby>んでいます。,He's resting over there for a while.
やっと,やっと,at last; finally (used only for a good outcome),やっと <ruby>仕事<rt>しごと</rt></ruby>が <ruby>終<rt>お</rt></ruby>わりました。,Finally; I finished my work.
どんどん,どんどん,knock; bang,ドアをどんどんとたたいた。,I banged on the door.
思わず,おもわず,unintentionally; unconsciously,<ruby>嬉<rt>うれ</rt></ruby>しくて <ruby>思<rt>おも</rt></ruby>わず <ruby>涙<rt>なみだ</rt></ruby>が <ruby>出<rt>で</rt></ruby>ました。,I was so happy that I burst into tears.
決して,けっして,never; by no means,このことを <ruby>決<rt>けっ</rt></ruby>して <ruby>忘<rt>わす</rt></ruby>れないでください。,Don't you ever forget this.
なかなか,なかなか,rather; pretty,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>絵<rt>え</rt></ruby>がなかなか <ruby>上手<rt>じょうず</rt></ruby>です。,She's pretty good at painting.
全然,ぜんぜん,(not ) at all,この <ruby>本<rt>ほん</rt></ruby>は <ruby>全然<rt>ぜんぜん</rt></ruby> <ruby>面白<rt>おもしろ</rt></ruby>くなかった。,This book wasn't interesting at all.
