曇り<div class="hint">cloudy weather</div>,くもり,cloudy weather,<ruby>今日<rt>きょう</rt></ruby>は <ruby>一<rt>いち</rt></ruby> <ruby>日<rt>にち</rt></ruby> <ruby>曇<rt>くも</rt></ruby>りでした。,It was cloudy all day today.,noun
オートバイ<div class="hint">motorbike; motorcycle</div>,おーとばい,motorbike; motorcycle,<ruby>彼<rt>かれ</rt></ruby>はオートバイに <ruby>乗<rt>の</rt></ruby>っている。,He rides a motorcycle.,noun
地震<div class="hint">earthquake</div>,じしん,earthquake,<ruby>日本<rt>にほん</rt></ruby>は <ruby>地震<rt>じしん</rt></ruby>が <ruby>多<rt>おお</rt></ruby>いです。,There are a lot of earthquakes in Japan.,noun
振る<div class="hint">wave; shake</div>,ふる,wave; shake,<ruby>犬<rt>いぬ</rt></ruby>がしっぽを <ruby>振<rt>ふ</rt></ruby>っている。,The dog is wagging its tail.,verb
秘密<div class="hint">secret; privacy</div>,ひみつ,secret; privacy,これは <ruby>秘密<rt>ひみつ</rt></ruby>です。,This is a secret.,adjectival noun
厳しい<div class="hint">strict; severe</div>,きびしい,strict; severe,<ruby>私<rt>わたし</rt></ruby>の <ruby>上司<rt>じょうし</rt></ruby>はとても <ruby>厳<rt>きび</rt></ruby>しい。,My boss is very strict.,adjective
なかなか<div class="hint">not easily; not readily</div>,なかなか,not easily; not readily,<ruby>荷物<rt>にもつ</rt></ruby>がなかなか <ruby>届<rt>とど</rt></ruby>きません。,The parcel still hasn't arrived.,adverb
世紀<div class="hint">century</div>,せいき,century,<ruby>新<rt>あたら</rt></ruby>しい <ruby>世紀<rt>せいき</rt></ruby>の <ruby>始<rt>はじ</rt></ruby>まりです。,It's the start of a new century.,noun
建てる<div class="hint">build; erect</div>,たてる,build; erect,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>来年<rt>らいねん</rt></ruby>、 <ruby>家<rt>いえ</rt></ruby>を <ruby>建<rt>た</rt></ruby>てます。,We'll build a house next year.,verb
建物<div class="hint">building; structure</div>,たてもの,building; structure,これは <ruby>日本一<rt>にほんいち</rt></ruby> <ruby>古<rt>ふる</rt></ruby>い <ruby>建物<rt>たてもの</rt></ruby>です。,This is the oldest building in Japan.,noun
さっき<div class="hint">earlier; only a moment ago</div>,さっき,earlier; only a moment ago,さっきの <ruby>話<rt>はなし</rt></ruby>を <ruby>続<rt>つづ</rt></ruby>けましょう。,Let's continue the conversation we had earlier.,adverb
橋<div class="hint">bridge</div>,はし,bridge,あの <ruby>橋<rt>はし</rt></ruby>は <ruby>日本<rt>にほん</rt></ruby>で <ruby>一番<rt>いちばん</rt></ruby> <ruby>長<rt>なが</rt></ruby>い。,That bridge is the longest in Japan.,noun
置く<div class="hint">put; place</div>,おく,put; place,<ruby>彼<rt>かれ</rt></ruby>はかばんをいすの <ruby>上<rt>うえ</rt></ruby>に <ruby>置<rt>お</rt></ruby>きました。,He put the bag on the chair.,verb
位置<div class="hint">position; location</div>,いち,position; location,<ruby>私<rt>わたし</rt></ruby>の <ruby>町<rt>まち</rt></ruby>は <ruby>東京<rt>とうきょう</rt></ruby>の <ruby>北<rt>きた</rt></ruby>に <ruby>位置<rt>いち</rt></ruby>します。,My town is located north of Tokyo.,verbal noun
バス停<div class="hint">bus stop</div>,ばすてい,bus stop,<ruby>次<rt>つぎ</rt></ruby>のバス <ruby>停<rt>てい</rt></ruby>で <ruby>降<rt>お</rt></ruby>ります。,I'll get off at the next bus stop.,noun
そんなに<div class="hint">so much</div>,そんなに,so much,<ruby>一<rt>いち</rt></ruby> <ruby>度<rt>ど</rt></ruby>にそんなにたくさんはできない。,You can't do so much at one time.,adverb
辺<div class="hint">vicinity</div>,へん,vicinity,<ruby>彼<rt>かれ</rt></ruby>はこの <ruby>辺<rt>へん</rt></ruby>に <ruby>住<rt>す</rt></ruby>んでいます。,He lives around here.,noun
隣<div class="hint">next to; next door</div>,となり,next to; next door,<ruby>隣<rt>となり</rt></ruby>の <ruby>家<rt>いえ</rt></ruby>には <ruby>犬<rt>いぬ</rt></ruby>がいます。,They have a dog next door.,noun
黄色い<div class="hint">yellow</div>,きいろい,yellow,<ruby>彼女<rt>かのじょ</rt></ruby>に <ruby>黄色<rt>きいろ</rt></ruby>いバラを <ruby>買<rt>か</rt></ruby>いました。,I bought her a yellow rose.,adjective
びっくりする<div class="hint">be surprised; be startled (casual)</div>,びっくりする,be surprised; be startled (casual),<ruby>大<rt>おお</rt></ruby>きな <ruby>音<rt>おと</rt></ruby>にびっくりしました。,I was startled by a sudden noise.,verb
黄色<div class="hint">yellow</div>,きいろ,yellow,<ruby>信号<rt>しんごう</rt></ruby>は <ruby>黄色<rt>きいろ</rt></ruby>でした。,The traffic light was yellow.,noun
横<div class="hint">side; width across</div>,よこ,side; width across,<ruby>横<rt>よこ</rt></ruby>の <ruby>長<rt>なが</rt></ruby>さは１メートルです。,Its width is one meter.,noun
訪ねる<div class="hint">visit; call on</div>,たずねる,visit; call on,<ruby>彼<rt>かれ</rt></ruby>はニューヨークの <ruby>友達<rt>ともだち</rt></ruby>を <ruby>訪<rt>たず</rt></ruby>ねた。,He visited his friend in New York.,verb
一緒に<div class="hint">together; at the same time</div>,いっしょに,together; at the same time,<ruby>一緒<rt>いっしょ</rt></ruby>に <ruby>帰<rt>かえ</rt></ruby>りましょう。,Let's go home together.,adverb
ひどい<div class="hint">cruel; awful</div>,ひどい,cruel; awful,<ruby>妹<rt>いもうと</rt></ruby>とひどい <ruby>喧嘩<rt>けんか</rt></ruby>をした。,I had an awful fight with my little sister.,adjective
一緒<div class="hint">together</div>,いっしょ,together,<ruby>一緒<rt>いっしょ</rt></ruby>に <ruby>食事<rt>しょくじ</rt></ruby>しようか。,Do you want to eat together?,verbal noun
緑<div class="hint">green</div>,みどり,green,この <ruby>町<rt>まち</rt></ruby>には <ruby>緑<rt>みどり</rt></ruby>がたくさんあります。,There's a lot of greenery in this town.,noun
易しい<div class="hint">easy; simple</div>,やさしい,easy; simple,この <ruby>問題<rt>もんだい</rt></ruby>はかなり <ruby>易<rt>やさ</rt></ruby>しいです。,This problem is fairly easy.,adjective
デパート<div class="hint">department store</div>,でぱーと,department store,<ruby>私<rt>わたし</rt></ruby>はデパートで <ruby>靴<rt>くつ</rt></ruby>を <ruby>買<rt>か</rt></ruby>った。,I bought a pair of shoes at the department store.,noun
復習<div class="hint">review</div>,ふくしゅう,review,<ruby>昨日<rt>きのう</rt></ruby>の <ruby>復習<rt>ふくしゅう</rt></ruby>をしましたか。,Did you review yesterday's lesson?,verbal noun
繰り返す<div class="hint">repeat</div>,くりかえす,repeat,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>同<rt>おな</rt></ruby>じ <ruby>間違<rt>まちが</rt></ruby>いを <ruby>繰<rt>く</rt></ruby>り <ruby>返<rt>かえ</rt></ruby>した。,She repeated the same mistake.,verb
携帯電話<div class="hint">cellular phone</div>,けいたいでんわ,cellular phone,<ruby>昨日<rt>きのう</rt></ruby>、 <ruby>携帯<rt>けいたい</rt></ruby> <ruby>電話<rt>でんわ</rt></ruby>をなくした。,I lost my cell phone yesterday.,noun
留学<div class="hint">study abroad</div>,りゅうがく,study abroad,１ <ruby>年間<rt>ねんかん</rt></ruby>、アメリカに <ruby>留学<rt>りゅうがく</rt></ruby>しました。,I went to study in the United States for a year.,verbal noun
トイレ<div class="hint">toilet</div>,といれ,toilet,トイレを <ruby>掃除<rt>そうじ</rt></ruby>しましたか。,Did you clean the toilet?,noun
守る<div class="hint">protect; observe</div>,まもる,protect; observe,<ruby>彼<rt>かれ</rt></ruby>は <ruby>約束<rt>やくそく</rt></ruby>を <ruby>守<rt>まも</rt></ruby>る <ruby>人<rt>ひと</rt></ruby>です。,He's one to keep his promise.,verb
自宅<div class="hint">one's house; one's home</div>,じたく,one's house; one's home,<ruby>自宅<rt>じたく</rt></ruby>に <ruby>電話<rt>でんわ</rt></ruby>をください。,Please call me at home.,noun
戻る<div class="hint">return to a point of departure</div>,もどる,return to a point of departure,<ruby>今<rt>いま</rt></ruby>、 <ruby>会社<rt>かいしゃ</rt></ruby>に <ruby>戻<rt>もど</rt></ruby>ります。,I'm going back to the office now.,verb
起きる<div class="hint">get up; get out of bed</div>,おきる,get up; get out of bed,<ruby>私<rt>わたし</rt></ruby>は <ruby>毎朝<rt>まいあさ</rt></ruby>６ <ruby>時<rt>じ</rt></ruby>に <ruby>起<rt>お</rt></ruby>きます。,I get up at six o'clock every morning.,verb
ぶつかる<div class="hint">hit; bump into</div>,ぶつかる,hit; bump into,<ruby>車<rt>くるま</rt></ruby>が <ruby>電柱<rt>でんちゅう</rt></ruby>にぶつかった。,The car crashed into the telephone pole.,verb
起こす<div class="hint">wake (someone) up</div>,おこす,wake (someone) up,<ruby>明日<rt>あす</rt></ruby>、６ <ruby>時<rt>じ</rt></ruby>に <ruby>起<rt>お</rt></ruby>こしてください。,Please wake me up tomorrow at six o'clock.,verb
