休む,やすむ,take a rest; take a break,<ruby>明日<rt>あした</rt></ruby>、 <ruby>会社<rt>かいしゃ</rt></ruby>を <ruby>休<rt>やす</rt></ruby>みます。,I'm off work tomorrow.
できる,できる,can do; be good at,<ruby>彼女<rt>かのじょ</rt></ruby>はイタリア <ruby>語<rt>ご</rt></ruby>ができます。,She can speak Italian.
空く,すく,be empty; become less crowded,レストランは <ruby>空<rt>す</rt></ruby>いていました。,There weren't many people at the restaurant.
やる,やる,do; give,<ruby>一緒<rt>いっしょ</rt></ruby>に <ruby>宿題<rt>しゅくだい</rt></ruby>をやろう。,Let's do our homework together.
いる,いる,be present; stay,<ruby>今日<rt>きょう</rt></ruby>は <ruby>一日中<rt>いちにちじゅう</rt></ruby> <ruby>家<rt>うち</rt></ruby>にいました。,I was at home all day today.
もらう,もらう,receive,<ruby>彼女<rt>かのじょ</rt></ruby>からプレゼントをもらいました。,I got a present from her.
しゃべる,しゃべる,chat; talk,<ruby>彼女<rt>かのじょ</rt></ruby>はよくしゃべるね。,She talks a lot.
晴れる,はれる,be sunny; clear up,<ruby>明日<rt>あした</rt></ruby>は <ruby>晴<rt>は</rt></ruby>れるといいですね。,I hope it'll be sunny tomorrow.
向かう,むかう,face; head toward,<ruby>今<rt>いま</rt></ruby>、 <ruby>会社<rt>かいしゃ</rt></ruby>に <ruby>向<rt>む</rt></ruby>かっています。,I'm heading for the office right now.
開ける,あける,open; unlock (doors; windows; etc.),<ruby>窓<rt>まど</rt></ruby>を <ruby>開<rt>あ</rt></ruby>けてください。,Please open the window.
開く,ひらく,open (books; eyes; etc.),３２ページを <ruby>開<rt>ひら</rt></ruby>いてください。,Please open to page 32.
開く,あく,open,<ruby>電車<rt>でんしゃ</rt></ruby>のドアが <ruby>開<rt>あ</rt></ruby>きました。,The train door opened.
閉める,しめる,shut; close (doors; windows; etc.),ちゃんとドアを <ruby>閉<rt>し</rt></ruby>めてよ。,Can you fully close the door?
閉じる,とじる,shut; close (books; eyes; etc.),<ruby>教科書<rt>きょうかしょ</rt></ruby>を <ruby>閉<rt>と</rt></ruby>じてください。,Please close your textbook.
