折る,おる,break (something); fold (something),<ruby>祖父<rt>そふ</span></rt></ruby>は <ruby>足<rt>あし</span></rt></ruby>の <ruby>骨<rt>ほね</span></rt></ruby>を <ruby>折<rt>お</span></rt></ruby>りました。,My grandfather broke a bone in his foot.
悲しむ,かなしむ,feel sad; lament,<ruby>父<rt>ちち</span></rt></ruby>は <ruby>友<rt>とも</span></rt></ruby>だちの <ruby>死<rt>し</span></rt></ruby>を <ruby>悲<rt>かな</span></rt></ruby>しんでいます。,My father is grieving for his friend's death.
鳴る,なる,sound; ring,<ruby>今朝<rt>けさ</span></rt></ruby>、５ <ruby>時<rt>じ</span></rt></ruby>に <ruby>電話<rt>でんわ</span></rt></ruby>が <ruby>鳴<rt>な</span></rt></ruby>った。,The phone rang at five o'clock this morning.
鳴く,なく,sing; cry (of animals),どこかでネコが <ruby>鳴<rt>な</span></rt></ruby>いている。,A cat is meowing somewhere.
騒ぐ,さわぐ,make a noise; make a racket,<ruby>電車<rt>でんしゃ</span></rt></ruby>の <ruby>中<rt>なか</span></rt></ruby>で <ruby>騒<rt>さわ</span></rt></ruby>がないでください。,Please don't make a racket in the train.
刺す,さす,sting; stab,<ruby>虫<rt>むし</span></rt></ruby>に <ruby>腕<rt>うで</span></rt></ruby>を <ruby>刺<rt>さ</span></rt></ruby>されました。,I got an insect bite on my arm.
倒す,たおす,knock down; overthrow,そのスキーヤーはポールを <ruby>倒<rt>たお</span></rt></ruby>した。,The skier knocked the pole down.
引っ張る,ひっぱる,pull; drag,<ruby>娘<rt>むすめ</span></rt></ruby>が <ruby>私<rt>わたし</span></rt></ruby>の <ruby>手<rt>て</span></rt></ruby>を <ruby>引<rt>ひ</span></rt></ruby>っ <ruby>張<rt>ぱ</span></rt></ruby>った。,My daughter tugged on my hand.
突き当たる,つきあたる,run into; come to the end (of a road),<ruby>突<rt>つ</span></rt></ruby>き <ruby>当<rt>あ</span></rt></ruby>たったら <ruby>右<rt>みぎ</span></rt></ruby>に <ruby>曲<rt>ま</span></rt></ruby>がってください。,Please turn right when the street ends.
弾く,ひく,play (instruments),<ruby>彼<rt>かれ</span></rt></ruby>はギターを <ruby>弾<rt>ひ</span></rt></ruby>きます。,He plays the guitar.
やって来る,やってくる,come all the way,フランスからサーカスがやって <ruby>来<rt>き</span></rt></ruby>ます。,A circus is coming all the way from France.
